episode,steps_done,timestep,total_reward,loss
284,12850,45,20.0,"tensor(0.0022, grad_fn=<SmoothL1LossBackward0>)"
285,12857,6,10.0,"tensor(0.5937, grad_fn=<SmoothL1LossBackward0>)"
286,12906,48,10.0,"tensor(0.0019, grad_fn=<SmoothL1LossBackward0>)"
287,12945,38,20.0,"tensor(1.1811, grad_fn=<SmoothL1LossBackward0>)"
288,13045,99,50.0,"tensor(0.2970, grad_fn=<SmoothL1LossBackward0>)"
289,13124,78,30.0,"tensor(0.0014, grad_fn=<SmoothL1LossBackward0>)"
290,13199,74,50.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
291,13207,7,10.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
292,13407,199,60.0,"tensor(0.8864, grad_fn=<SmoothL1LossBackward0>)"
293,13494,86,75.0,"tensor(0.5917, grad_fn=<SmoothL1LossBackward0>)"
294,13575,80,40.0,"tensor(0.2960, grad_fn=<SmoothL1LossBackward0>)"
295,13657,81,10.0,"tensor(0.0011, grad_fn=<SmoothL1LossBackward0>)"
296,13666,8,0.0,"tensor(0.5926, grad_fn=<SmoothL1LossBackward0>)"
297,13772,105,20.0,"tensor(0.2970, grad_fn=<SmoothL1LossBackward0>)"
298,13818,45,10.0,"tensor(0.2960, grad_fn=<SmoothL1LossBackward0>)"
299,13884,65,50.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
300,13922,37,0.0,"tensor(0.5916, grad_fn=<SmoothL1LossBackward0>)"
301,13933,10,0.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
302,14012,78,10.0,"tensor(0.2957, grad_fn=<SmoothL1LossBackward0>)"
303,14044,31,20.0,"tensor(0.0006, grad_fn=<SmoothL1LossBackward0>)"
304,14191,146,40.0,"tensor(0.5924, grad_fn=<SmoothL1LossBackward0>)"
305,14362,170,100.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
306,14382,19,0.0,"tensor(0.5929, grad_fn=<SmoothL1LossBackward0>)"
307,14415,32,30.0,"tensor(0.5925, grad_fn=<SmoothL1LossBackward0>)"
308,14426,10,0.0,"tensor(0.5916, grad_fn=<SmoothL1LossBackward0>)"
309,14484,57,50.0,"tensor(0.5915, grad_fn=<SmoothL1LossBackward0>)"
310,14534,49,20.0,"tensor(0.5926, grad_fn=<SmoothL1LossBackward0>)"
311,14540,5,0.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
312,14569,28,0.0,"tensor(0.5914, grad_fn=<SmoothL1LossBackward0>)"
313,14575,5,0.0,"tensor(1.4785, grad_fn=<SmoothL1LossBackward0>)"
314,14598,22,10.0,"tensor(0.2958, grad_fn=<SmoothL1LossBackward0>)"
315,14820,221,70.0,"tensor(0.0011, grad_fn=<SmoothL1LossBackward0>)"
