episode,steps_done,timestep,total_reward,loss
229,11113,111,80.0,"tensor(0.0014, grad_fn=<SmoothL1LossBackward0>)"
230,11120,6,0.0,"tensor(1.1471, grad_fn=<SmoothL1LossBackward0>)"
231,11131,10,0.0,"tensor(0.2699, grad_fn=<SmoothL1LossBackward0>)"
232,11138,6,0.0,"tensor(0.5847, grad_fn=<SmoothL1LossBackward0>)"
233,11274,135,70.0,"tensor(0.5773, grad_fn=<SmoothL1LossBackward0>)"
234,11448,173,50.0,"tensor(0.0031, grad_fn=<SmoothL1LossBackward0>)"
235,11599,150,40.0,"tensor(0.2920, grad_fn=<SmoothL1LossBackward0>)"
236,11607,7,0.0,"tensor(0.0038, grad_fn=<SmoothL1LossBackward0>)"
237,11659,51,30.0,"tensor(0.0034, grad_fn=<SmoothL1LossBackward0>)"
238,11700,40,30.0,"tensor(0.5747, grad_fn=<SmoothL1LossBackward0>)"
239,11718,17,0.0,"tensor(0.2929, grad_fn=<SmoothL1LossBackward0>)"
240,11748,29,40.0,"tensor(0.2896, grad_fn=<SmoothL1LossBackward0>)"
241,12129,380,30.0,"tensor(0.2916, grad_fn=<SmoothL1LossBackward0>)"
242,12172,42,0.0,"tensor(0.2903, grad_fn=<SmoothL1LossBackward0>)"
243,12181,8,0.0,"tensor(0.3004, grad_fn=<SmoothL1LossBackward0>)"
244,12265,83,40.0,"tensor(0.2840, grad_fn=<SmoothL1LossBackward0>)"
245,12282,16,0.0,"tensor(0.5594, grad_fn=<SmoothL1LossBackward0>)"
246,12390,107,30.0,"tensor(0.5656, grad_fn=<SmoothL1LossBackward0>)"
247,12435,44,20.0,"tensor(0.2955, grad_fn=<SmoothL1LossBackward0>)"
248,12484,48,10.0,"tensor(0.0058, grad_fn=<SmoothL1LossBackward0>)"
249,12527,42,40.0,"tensor(0.8826, grad_fn=<SmoothL1LossBackward0>)"
250,12567,39,20.0,"tensor(0.8809, grad_fn=<SmoothL1LossBackward0>)"
251,12575,7,0.0,"tensor(0.2690, grad_fn=<SmoothL1LossBackward0>)"
252,12619,43,20.0,"tensor(0.2951, grad_fn=<SmoothL1LossBackward0>)"
253,12625,5,0.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
254,12636,10,0.0,"tensor(0.5763, grad_fn=<SmoothL1LossBackward0>)"
255,12709,72,40.0,"tensor(0.0056, grad_fn=<SmoothL1LossBackward0>)"
256,12832,122,60.0,"tensor(0.2905, grad_fn=<SmoothL1LossBackward0>)"
257,12838,5,0.0,"tensor(1.1212, grad_fn=<SmoothL1LossBackward0>)"
258,12857,18,10.0,"tensor(0.8601, grad_fn=<SmoothL1LossBackward0>)"
259,12886,28,10.0,"tensor(0.0055, grad_fn=<SmoothL1LossBackward0>)"
260,12893,6,10.0,"tensor(0.5754, grad_fn=<SmoothL1LossBackward0>)"
261,12931,37,30.0,"tensor(0.0067, grad_fn=<SmoothL1LossBackward0>)"
262,13012,80,20.0,"tensor(0.8296, grad_fn=<SmoothL1LossBackward0>)"
263,13036,23,20.0,"tensor(0.8515, grad_fn=<SmoothL1LossBackward0>)"
264,13045,8,10.0,"tensor(0.2615, grad_fn=<SmoothL1LossBackward0>)"
265,13243,197,60.0,"tensor(0.2960, grad_fn=<SmoothL1LossBackward0>)"
266,13275,31,0.0,"tensor(0.8533, grad_fn=<SmoothL1LossBackward0>)"
267,13287,11,0.0,"tensor(0.0101, grad_fn=<SmoothL1LossBackward0>)"
268,13313,25,20.0,"tensor(1.1461, grad_fn=<SmoothL1LossBackward0>)"
269,13655,341,90.0,"tensor(0.0095, grad_fn=<SmoothL1LossBackward0>)"
270,13677,21,10.0,"tensor(0.0088, grad_fn=<SmoothL1LossBackward0>)"
271,13682,4,0.0,"tensor(0.0039, grad_fn=<SmoothL1LossBackward0>)"
272,13767,84,60.0,"tensor(0.2981, grad_fn=<SmoothL1LossBackward0>)"
273,13809,41,30.0,"tensor(0.5794, grad_fn=<SmoothL1LossBackward0>)"
274,13848,38,20.0,"tensor(0.2979, grad_fn=<SmoothL1LossBackward0>)"
275,13877,28,10.0,"tensor(0.5823, grad_fn=<SmoothL1LossBackward0>)"
276,13925,47,20.0,"tensor(0.2813, grad_fn=<SmoothL1LossBackward0>)"
277,13942,16,0.0,"tensor(0.2949, grad_fn=<SmoothL1LossBackward0>)"
278,13972,29,20.0,"tensor(0.2955, grad_fn=<SmoothL1LossBackward0>)"
279,14004,31,30.0,"tensor(0.2949, grad_fn=<SmoothL1LossBackward0>)"
280,14045,40,20.0,"tensor(0.5800, grad_fn=<SmoothL1LossBackward0>)"
281,14186,140,30.0,"tensor(1.3952, grad_fn=<SmoothL1LossBackward0>)"
282,14210,23,10.0,"tensor(0.2773, grad_fn=<SmoothL1LossBackward0>)"
283,14270,59,50.0,"tensor(0.2933, grad_fn=<SmoothL1LossBackward0>)"
284,14307,36,10.0,"tensor(0.8550, grad_fn=<SmoothL1LossBackward0>)"
285,14359,51,10.0,"tensor(0.5672, grad_fn=<SmoothL1LossBackward0>)"
286,14388,28,10.0,"tensor(0.5898, grad_fn=<SmoothL1LossBackward0>)"
287,14393,4,10.0,"tensor(0.0067, grad_fn=<SmoothL1LossBackward0>)"
288,14398,4,0.0,"tensor(0.3045, grad_fn=<SmoothL1LossBackward0>)"
289,14527,128,50.0,"tensor(0.0053, grad_fn=<SmoothL1LossBackward0>)"
290,14551,23,10.0,"tensor(0.5619, grad_fn=<SmoothL1LossBackward0>)"
291,14596,44,10.0,"tensor(0.2950, grad_fn=<SmoothL1LossBackward0>)"
292,14616,19,0.0,"tensor(0.2690, grad_fn=<SmoothL1LossBackward0>)"
293,14622,5,0.0,"tensor(0.3001, grad_fn=<SmoothL1LossBackward0>)"
294,14661,38,10.0,"tensor(0.5519, grad_fn=<SmoothL1LossBackward0>)"
295,14687,25,10.0,"tensor(0.0053, grad_fn=<SmoothL1LossBackward0>)"
296,14743,55,20.0,"tensor(0.5465, grad_fn=<SmoothL1LossBackward0>)"
297,14805,61,10.0,"tensor(0.2981, grad_fn=<SmoothL1LossBackward0>)"
