episode,steps_done,timestep,total_reward,loss
198,9575,23,0.0,"tensor(0.0800, grad_fn=<SmoothL1LossBackward0>)"
199,9636,60,20.0,"tensor(1.1247, grad_fn=<SmoothL1LossBackward0>)"
200,9671,34,20.0,"tensor(0.1026, grad_fn=<SmoothL1LossBackward0>)"
201,9693,21,10.0,"tensor(0.0151, grad_fn=<SmoothL1LossBackward0>)"
202,9724,30,20.0,"tensor(1.9881, grad_fn=<SmoothL1LossBackward0>)"
203,9819,94,10.0,"tensor(2.0101, grad_fn=<SmoothL1LossBackward0>)"
204,9840,20,10.0,"tensor(0.2442, grad_fn=<SmoothL1LossBackward0>)"
205,10354,513,80.0,"tensor(0.0646, grad_fn=<SmoothL1LossBackward0>)"
206,10383,28,10.0,"tensor(0.2282, grad_fn=<SmoothL1LossBackward0>)"
207,10392,8,0.0,"tensor(0.2302, grad_fn=<SmoothL1LossBackward0>)"
208,10403,10,0.0,"tensor(0.0582, grad_fn=<SmoothL1LossBackward0>)"
209,10416,12,0.0,"tensor(1.2119, grad_fn=<SmoothL1LossBackward0>)"
210,10439,22,10.0,"tensor(0.0816, grad_fn=<SmoothL1LossBackward0>)"
211,10461,21,20.0,"tensor(1.8880, grad_fn=<SmoothL1LossBackward0>)"
212,10466,4,0.0,"tensor(1.0381, grad_fn=<SmoothL1LossBackward0>)"
213,10508,41,30.0,"tensor(0.0843, grad_fn=<SmoothL1LossBackward0>)"
214,10563,54,50.0,"tensor(0.1237, grad_fn=<SmoothL1LossBackward0>)"
215,10708,144,30.0,"tensor(2.2450, grad_fn=<SmoothL1LossBackward0>)"
216,10793,84,50.0,"tensor(1.1289, grad_fn=<SmoothL1LossBackward0>)"
217,10963,169,20.0,"tensor(0.2880, grad_fn=<SmoothL1LossBackward0>)"
218,11009,45,30.0,"tensor(0.9944, grad_fn=<SmoothL1LossBackward0>)"
219,11086,76,10.0,"tensor(1.3078, grad_fn=<SmoothL1LossBackward0>)"
220,11107,20,20.0,"tensor(0.4512, grad_fn=<SmoothL1LossBackward0>)"
221,11198,90,20.0,"tensor(1.1230, grad_fn=<SmoothL1LossBackward0>)"
222,11234,35,10.0,"tensor(0.9909, grad_fn=<SmoothL1LossBackward0>)"
223,11300,65,10.0,"tensor(0.1045, grad_fn=<SmoothL1LossBackward0>)"
224,11374,73,40.0,"tensor(0.0983, grad_fn=<SmoothL1LossBackward0>)"
225,11484,109,30.0,"tensor(0.4826, grad_fn=<SmoothL1LossBackward0>)"
226,11517,32,10.0,"tensor(0.0446, grad_fn=<SmoothL1LossBackward0>)"
227,11580,62,40.0,"tensor(0.0874, grad_fn=<SmoothL1LossBackward0>)"
228,11585,4,0.0,"tensor(0.9766, grad_fn=<SmoothL1LossBackward0>)"
229,11952,366,50.0,"tensor(1.0363, grad_fn=<SmoothL1LossBackward0>)"
230,11979,26,0.0,"tensor(1.0690, grad_fn=<SmoothL1LossBackward0>)"
231,12043,63,50.0,"tensor(0.2138, grad_fn=<SmoothL1LossBackward0>)"
232,12161,117,20.0,"tensor(0.8424, grad_fn=<SmoothL1LossBackward0>)"
233,12186,24,10.0,"tensor(0.0418, grad_fn=<SmoothL1LossBackward0>)"
234,12258,71,20.0,"tensor(0.2213, grad_fn=<SmoothL1LossBackward0>)"
235,12269,10,10.0,"tensor(0.4618, grad_fn=<SmoothL1LossBackward0>)"
236,12276,6,10.0,"tensor(0.0630, grad_fn=<SmoothL1LossBackward0>)"
237,12302,25,10.0,"tensor(2.5346, grad_fn=<SmoothL1LossBackward0>)"
238,12451,148,30.0,"tensor(0.0905, grad_fn=<SmoothL1LossBackward0>)"
239,12456,4,10.0,"tensor(0.2026, grad_fn=<SmoothL1LossBackward0>)"
240,12715,258,50.0,"tensor(0.4609, grad_fn=<SmoothL1LossBackward0>)"
241,12736,20,10.0,"tensor(0.0254, grad_fn=<SmoothL1LossBackward0>)"
242,12747,10,0.0,"tensor(1.2347, grad_fn=<SmoothL1LossBackward0>)"
243,12807,59,10.0,"tensor(0.2619, grad_fn=<SmoothL1LossBackward0>)"
244,12889,81,30.0,"tensor(1.0201, grad_fn=<SmoothL1LossBackward0>)"
245,12905,15,0.0,"tensor(0.9771, grad_fn=<SmoothL1LossBackward0>)"
246,12953,47,20.0,"tensor(0.1946, grad_fn=<SmoothL1LossBackward0>)"
247,13047,93,40.0,"tensor(1.2687, grad_fn=<SmoothL1LossBackward0>)"
248,13123,75,60.0,"tensor(0.0500, grad_fn=<SmoothL1LossBackward0>)"
249,13134,10,10.0,"tensor(0.0379, grad_fn=<SmoothL1LossBackward0>)"
250,13216,81,50.0,"tensor(0.7087, grad_fn=<SmoothL1LossBackward0>)"
251,13221,4,0.0,"tensor(0.9797, grad_fn=<SmoothL1LossBackward0>)"
252,13504,282,60.0,"tensor(1.0119, grad_fn=<SmoothL1LossBackward0>)"
253,13512,7,0.0,"tensor(0.1417, grad_fn=<SmoothL1LossBackward0>)"
254,13543,30,0.0,"tensor(1.0682, grad_fn=<SmoothL1LossBackward0>)"
255,13603,59,60.0,"tensor(0.0748, grad_fn=<SmoothL1LossBackward0>)"
256,14009,405,20.0,"tensor(0.0549, grad_fn=<SmoothL1LossBackward0>)"
257,14032,22,10.0,"tensor(0.1345, grad_fn=<SmoothL1LossBackward0>)"
258,14149,116,80.0,"tensor(2.0625, grad_fn=<SmoothL1LossBackward0>)"
259,14150,0,0.0,"tensor(0.0552, grad_fn=<SmoothL1LossBackward0>)"
260,14156,5,0.0,"tensor(0.0401, grad_fn=<SmoothL1LossBackward0>)"
261,14181,24,20.0,"tensor(1.1204, grad_fn=<SmoothL1LossBackward0>)"
262,14186,4,0.0,"tensor(0.0808, grad_fn=<SmoothL1LossBackward0>)"
263,14262,75,40.0,"tensor(0.0248, grad_fn=<SmoothL1LossBackward0>)"
264,14340,77,30.0,"tensor(0.0250, grad_fn=<SmoothL1LossBackward0>)"
265,14383,42,20.0,"tensor(0.0499, grad_fn=<SmoothL1LossBackward0>)"
266,14391,7,0.0,"tensor(0.8456, grad_fn=<SmoothL1LossBackward0>)"
267,14494,102,80.0,"tensor(0.1522, grad_fn=<SmoothL1LossBackward0>)"
268,14499,4,0.0,"tensor(0.2423, grad_fn=<SmoothL1LossBackward0>)"
269,14637,137,20.0,"tensor(0.9134, grad_fn=<SmoothL1LossBackward0>)"
270,14676,38,30.0,"tensor(0.4090, grad_fn=<SmoothL1LossBackward0>)"
271,14977,300,35.0,"tensor(0.1167, grad_fn=<SmoothL1LossBackward0>)"
272,14988,10,10.0,"tensor(0.1288, grad_fn=<SmoothL1LossBackward0>)"
273,15004,15,10.0,"tensor(0.0869, grad_fn=<SmoothL1LossBackward0>)"
274,15032,27,20.0,"tensor(1.8670, grad_fn=<SmoothL1LossBackward0>)"
275,15129,96,50.0,"tensor(0.8939, grad_fn=<SmoothL1LossBackward0>)"
276,15177,47,10.0,"tensor(0.3277, grad_fn=<SmoothL1LossBackward0>)"
277,15236,58,30.0,"tensor(2.5361, grad_fn=<SmoothL1LossBackward0>)"
